Artista,País,Álbum,Año de lanzamiento,Ventas estimadas*
Pink Floyd,Reino Unido,The Dark Side of the Moon,1973,45 millones[24]​[25]​[26]​
Whitney Houston / Varios artistas,Estados Unidos,The Bodyguard,1992,45 millones[10]​[11]​ 42 millones[27]​ 40 millones[8]​[9]​
Eagles,Estados Unidos,Their Greatest Hits (1971-1975),1976,42 millones[12]​[13]​
Fleetwood Mac,Reino Unido,Rumours,1977,40 millones[28]​[29]​
Bee Gees / Varios artistas,Reino Unido Australia,Saturday Night Fever,1977,40 millones[30]​[31]​[32]​[27]​
Andrew Lloyd Webber,Reino Unido,El fantasma de la ópera,1986,40 millones[33]​
Shania Twain,Canadá,Come on Over,1997,40 millones[34]​ 39 millones[35]​[36]​
