Artista,País,Álbum,Año de lanzamiento,Ventas estimadas*
Bon Jovi,Estados Unidos,Slippery When Wet,1986,28 millones[107]​[108]​
ABBA,Suecia,ABBA Gold: Greatest Hits,1992,28 millones[109]​ 25 millones[110]​
Spice Girls,Reino Unido,Spice,1996,28 millones[111]​[112]​ 24 millones[113]​
Backstreet Boys,Estados Unidos,Backstreet's Back,1997,28 millones[114]​ 24 millones[106]​
Norah Jones,Estados Unidos,Come Away with Me,2002,26 millones[115]​ 25 millones[116]​
Eric Clapton,Reino Unido,Unplugged,1992,26 millones[117]​
Iron Butterfly,Estados Unidos,In-A-Gadda-Da-Vida,1968,25 millones[118]​[119]​
Simon & Garfunkel,Estados Unidos,Bridge Over Troubled Water,1970,25 millones[120]​[121]​
Carole King,Estados Unidos,Tapestry,1971,25 millones[122]​
Queen,Reino Unido,Greatest Hits,1981,25 millones[123]​[124]​
Bob Marley & The Wailers,Jamaica,Legend,1984,25 millones[125]​ 20 millones[126]​[127]​
Madonna,Estados Unidos,Like a Virgin,1984,25 millones[128]​[129]​[130]​
Whitney Houston,Estados Unidos,Whitney Houston,1985,25 millones[131]​
Madonna,Estados Unidos,True Blue,1986,25 millones[132]​[133]​[134]​
U2,Irlanda,The Joshua Tree,1987,25 millones[135]​[136]​
Whitney Houston,Estados Unidos,Whitney,1987,25 millones[137]​
Mariah Carey,Estados Unidos,Daydream,1995,25 millones[63]​
Backstreet Boys,Estados Unidos,Black & Blue,2000,24 millones[114]​
Ace of Base,Suecia,Happy Nation,1993,23 millones[138]​
TLC,Estados Unidos,CrazySexyCool,1994,23 millones[139]​ 22 millones[140]​
Oasis,Reino Unido,(What's the Story) Morning Glory?,1995,22 millones[141]​[142]​
Ricky Martin,Puerto Rico,Ricky Martin,1999,22 millones[143]​[144]​
Adele,Reino Unido,25,2015,22 millones[145]​
Bon Jovi,Estados Unidos,Cross Road,1994,"21 millones[146]​ 21,5 millones[147]​"
Dido,Reino Unido,No Angel,1999,21 millones[148]​[149]​
Eminem,Estados Unidos,The Marshall Mathers LP,2000,21 millones[150]​
Boston,Estados Unidos,Boston,1976,20 millones[151]​[152]​
Blondie,Estados Unidos,Parallel Lines,1978,20 millones[153]​
Supertramp,Reino Unido,Breakfast in America,1979,20 millones[154]​[155]​
Michael Jackson,Estados Unidos,Off the Wall,1979,20 millones[156]​[157]​[57]​
Barbra Streisand,Estados Unidos,Guilty,1980,20 millones[158]​
Lionel Richie,Estados Unidos,Can't Slow Down,1983,20 millones[159]​[160]​
Tina Turner,Estados Unidos,Private Dancer,1984,20 millones[161]​[162]​
Prince & The Revolution,Estados Unidos,Purple Rain,1984,20 millones[27]​[163]​
Phil Collins,Reino Unido,No Jacket Required,1985,20 millones[164]​
Def Leppard,Reino Unido,Hysteria,1987,20 millones[165]​[166]​
George Michael,Reino Unido,Faith,1987,20 millones[167]​[168]​
Billy Ray Cyrus,Estados Unidos,Some Gave All,1992,20 millones[169]​
Janet Jackson,Estados Unidos,janet.,1993,20 millones[170]​[171]​
Céline Dion,Canadá,The Colour of My Love,1993,20 millones[172]​
Green Day,Estados Unidos,Dookie,1994,20 millones[173]​
Shania Twain,Canadá,The Woman in Me,1995,20 millones[174]​
Michael Jackson,Estados Unidos,"HIStory: Past, Present and Future, Book I",1995,20 millones[57]​
Queen,Reino Unido,Made in Heaven,1995,20 millones[175]​
Andrea Bocelli,Italia,Romanza,1997,20 millones[176]​[177]​
Spice Girls,Reino Unido,Spiceworld,1997,20 millones[178]​
Madonna,Estados Unidos,Ray of Light,1998,20 millones[179]​[86]​[180]​[181]​[182]​
Cher,Estados Unidos,Believe,1998,20 millones[183]​
Britney Spears,Estados Unidos,Oops!... I Did It Again,2000,20 millones[184]​[185]​[186]​
Usher,Estados Unidos,Confessions,2004,20 millones[187]​[188]​
